system:index,B11,B12,B2,B3,B4,B8,NDBI,NDVI,class,random,.geo
1_1_2_00000000000000000036_0,0.299,0.2754,0.0503,0.0606,0.0832,0.1666,0.28436425,0.3338671,0,0.5353200608742041,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.852308645781355,46.67884269835325]}"
1_1_2_00000000000000000012_0,0.31575,0.31265,0.0512,0.0679,0.09005,0.1586,0.33129546,0.27568874,0,0.13299477772369706,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.852757803423415,46.679920676694195]}"
1_1_2_0000000000000000000f_0,0.3328,0.2147,0.0561,0.0712,0.0979,0.2187,0.20689029,0.381554,0,0.5943635024095842,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.8709936036910415,46.698066645433414]}"
1_1_2_0000000000000000002b_0,0.2105,0.1794,0.0431,0.0484,0.0568,0.0925,0.38943896,0.23911588,0,0.3865929807160623,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.860213820281607,46.68791568272286]}"
1_1_2_00000000000000000004_0,0.1675,0.1329,0.056,0.0546,0.0572,0.0619,0.4603313,0.03946265,0,0.4594288258561545,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.890127719242787,46.68935298717745]}"
1_1_2_00000000000000000001_0,0.2727,0.2751,0.0547,0.0643,0.0816,0.1147,0.40784723,0.16861942,0,0.17179078772435463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.884917490594894,46.68989197634792]}"
1_1_2_00000000000000000008_0,0.2551,0.2521,0.0572,0.0713,0.0797,0.1183,0.36636317,0.19494948,0,0.6348292083586913,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.855812075389421,46.68468174770003]}"
1_1_2_0000000000000000001e_0,0.1893,0.1404,0.058,0.0628,0.0654,0.0948,0.33262935,0.18352063,0,0.18639635657917764,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.8629985976623775,46.68531056839891]}"
1_1_2_0000000000000000002c_0,0.2048,0.1779,0.0618,0.0774,0.0855,0.1184,0.2673267,0.16135359,0,0.18193327525370706,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.862729103077141,46.68890382953539]}"
1_1_2_0000000000000000001a_0,0.2438,0.2346,0.0598,0.0745,0.1016,0.1407,0.26814044,0.1613702,0,0.6684545568822123,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.856351064559893,46.68477157922844]}"
1_1_2_00000000000000000033_0,0.3105,0.2795,0.0561,0.065,0.0739,0.1472,0.3567839,0.33152422,0,0.3742468269947694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.859046010412252,46.68270545407497]}"
1_1_2_0000000000000000003f_0,0.0749,0.0437,0.0605,0.0634,0.0287,0.0237,0.51926976,-0.095419824,0,0.06836818197305305,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.866142701156796,46.69034113398998]}"
1_1_2_00000000000000000031_0,0.3496,0.3377,0.0588,0.0733,0.083,0.1277,0.46490675,0.21215,0,0.1479314675299236,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.856800222201953,46.68647837826827]}"
1_1_2_00000000000000000018_0,0.2888,0.2804,0.0652,0.087,0.1018,0.1766,0.24108295,0.26867813,0,0.2511975381845878,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.891295529112142,46.685849557569384]}"
1_1_2_00000000000000000016_0,0.3163,0.3189,0.0644,0.078,0.1084,0.1642,0.31654528,0.2046955,0,0.16231857754418222,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.8550035916337135,46.67965118210896]}"
1_1_2_00000000000000000019_0,0.3568,0.3493,0.0718,0.0907,0.1268,0.2082,0.26300886,0.24298505,0,0.5333758265160805,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.890307382299611,46.68378343241591]}"
1_1_2_00000000000000000027_0,0.2624,0.219,0.0812,0.0879,0.0959,0.1948,0.1478565,0.3402133,0,0.197467920698551,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.860662977923667,46.679471519052136]}"
1_1_2_00000000000000000011_0,0.05675,0.0352,0.07925,0.0757,0.0299,0.0197,0.48463047,-0.20564516,0,0.5674531848617484,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.873958044128636,46.692766585257104]}"
1_1_2_00000000000000000025_0,0.298,0.2742,0.0893,0.104,0.1376,0.2338,0.1207221,0.2590199,0,0.23278517951390298,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.891475192168967,46.68360376935909]}"
1_1_2_0000000000000000000d_0,0.1748,0.1304,0.0775,0.0745,0.0775,0.0962,0.2900369,0.10765686,0,0.0740034785127287,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.87737164220829,46.688993661063805]}"
1_1_2_00000000000000000007_0,0.2776,0.2732,0.0544,0.0649,0.0756,0.1263,0.37459764,0.25111446,0,0.5580777340063824,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.857069716787189,46.686658041325096]}"
1_1_2_0000000000000000000c_0,0.0515,0.0323,0.0929,0.0924,0.0369,0.0211,0.4187328,-0.2724138,0,0.4612609907583909,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.869825793821686,46.69222759608663]}"
1_1_2_0000000000000000002e_0,0.2868,0.2559,0.0841,0.108,0.134,0.2021,0.17324607,0.20261824,0,0.4150424839976733,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.86452573364538,46.687286862023974]}"
1_1_2_00000000000000000040_0,0.05735,0.03695,0.08585,0.0856,0.03655,0.0196,0.4905783,-0.30187,0,0.42020105639207717,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.867310511026151,46.69096995468887]}"
1_1_2_0000000000000000000e_0,0.2812,0.2568,0.0884,0.1026,0.1098,0.1622,0.26838067,0.19264705,0,0.6698720125833814,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.876383495395759,46.692137764558225]}"
1_1_2_00000000000000000038_0,0.2558,0.2339,0.0833,0.0971,0.1074,0.1748,0.18810965,0.23883769,0,0.2488971535858806,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.856800222201953,46.68126814962037]}"
1_1_2_00000000000000000009_0,0.19,0.1458,0.0907,0.0876,0.0861,0.1007,0.30718955,0.07815847,0,0.010065880670947824,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.852488308838179,46.681627475734025]}"
1_1_2_00000000000000000044_0,0.0336,0.0267,0.0946,0.0943,0.0392,0.0208,0.2352941,-0.30666667,0,0.6170779187624759,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.872341076617221,46.692586922200285]}"
1_1_2_00000000000000000017_0,0.1946,0.168,0.0996,0.1156,0.1246,0.1546,0.11454756,0.10744984,0,0.25444790063035627,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.850871341326764,46.678034214597545]}"
1_1_2_00000000000000000029_0,0.2304,0.158,0.0967,0.1038,0.1013,0.1555,0.19409174,0.21105917,0,0.6512236981643029,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.863896912946497,46.683064780188616]}"
1_1_2_00000000000000000026_0,0.3177,0.2863,0.1023,0.1354,0.196,0.2773,0.06789916,0.17177267,0,0.6188207407411259,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.891475192168967,46.68513090534209]}"
1_1_2_00000000000000000024_0,0.2708,0.2359,0.0976,0.1114,0.119,0.1826,0.19453019,0.21087533,0,0.38141215220871827,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.886534458106309,46.68270545407497]}"
1_1_2_00000000000000000049_0,0.219,0.2009,0.1005,0.1196,0.1304,0.165,0.14062497,0.117129326,0,0.6183266960748822,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.888600583259784,46.68423259005797]}"
1_1_2_00000000000000000043_0,0.3191,0.2571,0.102,0.1242,0.1266,0.1705,0.30351308,0.14776169,0,0.041773682875717255,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.873508886486576,46.6919581015014]}"
